id	content	info
A01B	SOIL WORKING IN AGRICULTURE OR FORESTRY  PARTS  DETAILS  OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS  IN GENERAL	1
A01C	PLANTING  SOWING  FERTILISING	0
A01D	HARVESTING  MOWING	1
A01F	THRESHING   BALING OF STRAW  HAY OR THE LIKE  STATIONARY APPARATUS OR HAND TOOLS FOR FORMING OR BINDING STRAW  HAY OR THE LIKE INTO BUNDLES  CUTTING OF STRAW  HAY OR THE LIKE  STORING AGRICULTURAL OR HORTICULTURAL PRODUCE	0
A01G	HORTICULTURE  CULTIVATION OF VEGETABLES  FLOWERS  RICE  FRUIT  VINES  HOPS OR SEAWEED  FORESTRY  WATERING	1
A01H	NEW PLANTS OR PROCESSES FOR OBTAINING THEM  PLANT REPRODUCTION BY TISSUE CULTURE TECHNIQUES	0
A01J	MANUFACTURE OF DAIRY PRODUCTS	1
A01K	ANIMAL HUSBANDRY  AVICULTURE  APICULTURE  PISCICULTURE  FISHING  REARING OR BREEDING ANIMALS  NOT OTHERWISE PROVIDED FOR  NEW BREEDS OF ANIMALS	0
A01L	SHOEING OF ANIMALS	1
A01M	CATCHING  TRAPPING OR SCARING OF ANIMALS   APPARATUS FOR THE DESTRUCTION OF NOXIOUS ANIMALS OR NOXIOUS PLANTS	1
A01N	PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF   BIOCIDES  e.g. AS DISINFECTANTS  AS PESTICIDES OR AS HERBICIDES  PEST REPELLANTS OR ATTRACTANTS  PLANT GROWTH REGULATORS	1
A01P	BIOCIDAL  PEST REPELLANT  PEST ATTRACTANT OR PLANT GROWTH REGULATORY ACTIVITY OF CHEMICAL COMPOUNDS OR PREPARATIONS	1
A21B	BAKERS' OVENS  MACHINES OR EQUIPMENT FOR BAKING 	1
A21C	MACHINES OR EQUIPMENT FOR MAKING OR PROCESSING DOUGHS  HANDLING BAKED ARTICLES MADE FROM DOUGH	1
A21D	TREATMENT  e.g. PRESERVATION  OF FLOUR OR DOUGH FOR BAKING  e.g. BY ADDITION OF MATERIALS  BAKING  BAKERY PRODUCTS  PRESERVATION THEREOF	1
A22B	SLAUGHTERING	0
A22C	PROCESSING MEAT  POULTRY  OR FISH 	0
A23B	PRESERVING  BY CANNING  MEAT  FISH  EGGS  FRUIT  VEGETABLES  EDIBLE SEEDS  CHEMICAL RIPENING OF FRUIT OR VEGETABLES  THE PRESERVED  RIPENED  OR CANNED PRODUCTS	0
A23C	DAIRY PRODUCTS  MILK  BUTTER OR CHEESE  MILK OR CHEESE SUBSTITUTES  MAKING THEREOF  	0
A23D	EDIBLE OILS OR FATS MARGARINES  SHORTENINGS  COOKING OILS 	0
A23F	COFFEE  TEA  THEIR SUBSTITUTES  MANUFACTURE  PREPARATION  OR INFUSION THEREOF	0
A23G	COCOA  COCOA PRODUCTS  e.g. CHOCOLATE  SUBSTITUTES FOR COCOA OR COCOA PRODUCTS  CONFECTIONERY  CHEWING GUM  ICE-CREAM  PREPARATION THEREOF	1
A23J	PROTEIN COMPOSITIONS FOR FOODSTUFFS  WORKING-UP PROTEINS FOR FOODSTUFFS  PHOSPHATIDE COMPOSITIONS FOR FOODSTUFFS	1
A23K	FEEDING-STUFFS SPECIALLY ADAPTED FOR ANIMALS  METHODS SPECIALLY ADAPTED FOR PRODUCTION THEREOF	1
A23L	FOODS  FOODSTUFFS  OR NON-ALCOHOLIC BEVERAGES  NOT COVERED BY SUBCLASSES A21D OR A23B ~ A23J  THEIR PREPARATION OR TREATMENT  e.g. COOKING  MODIFICATION OF NUTRITIVE QUALITIES  PHYSICAL TREATMENT    PRESERVATION OF FOODS OR FOODSTUFFS  IN GENERAL	1
A23N	MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT  VEGETABLES  OR FLOWER BULBS IN BULK  NOT OTHERWISE PROVIDED FOR  PEELING VEGETABLES OR FRUIT IN BULK  APPARATUS FOR PREPARING ANIMAL FEEDING-STUFFS	1
A23P	SHAPING OR WORKING OF FOODSTUFFS 	1
A24B	MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING  TOBACCO  SNUFF	0
A24C	MACHINES FOR MAKING CIGARS OR CIGARETTES	0
A24D	CIGARS  CIGARETTES  TOBACCO SMOKE FILTERS  MOUTHPIECES FOR CIGARS OR CIGARETTES  MANUFACTURE OF TOBACCO SMOKE FILTERS OR MOUTHPIECES	0
A24F	SMOKERS’ REQUISITES  MATCH BOXES  SIMULATED SMOKING DEVICES 	0
A41B	SHIRTS  UNDERWEAR  BABY LINEN  HANDKERCHIEFS	0
A41C	CORSETS  BRASSI?RES	0
A41D	OUTERWEAR  PROTECTIVE GARMENTS  ACCESSORIES	0
A41F	GARMENT FASTENINGS  SUSPENDERS	1
A41G	ARTIFICIAL FLOWERS  WIGS  MASKS  FEATHERS	1
A41H	APPLIANCES OR METHODS FOR MAKING CLOTHES  e.g. FOR DRESS-MAKING  FOR TAILORING  NOT OTHERWISE PROVIDED FOR	1
A42B	HATS  HEAD COVERINGS 	0
A42C	MANUFACTURING OR TRIMMING HEAD COVERINGS . HATS	0
